Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind
1,1,2006,11.22,1.68,88.38,0.40,4.28,1.98,4.50
2,1,2006,9.16,3.76,86.46,0.78,5.80,4.70,4.05
3,1,2006,8.93,2.13,82.02,0.81,7.11,0.92,2.57
4,1,2006,10.64,-1.15,77.85,1.07,11.21,1.19,3.23
5,1,2006,8.08,3.83,93.11,0.51,4.48,5.66,0.92
6,1,2006,9.85,0.20,83.68,0.81,7.96,0.27,1.91
7,1,2006,11.59,0.25,84.50,0.64,6.45,0.41,2.17
8,1,2006,9.42,2.20,93.94,0.42,3.31,6.60,3.51
9,1,2006,6.80,1.10,90.56,0.18,1.15,9.48,3.35
10,1,2006,8.22,0.37,80.00,0.83,7.42,0.00,1.79
11,1,2006,12.53,-2.69,76.84,0.90,11.76,0.00,1.10
12,1,2006,14.15,-1.11,78.88,0.93,11.64,0.00,1.15
13,1,2006,13.59,-0.96,78.35,0.86,11.51,0.00,1.02
14,1,2006,13.08,-2.17,81.69,0.86,11.39,0.00,1.40
15,1,2006,12.12,-1.56,80.17,0.95,11.76,0.00,1.41
16,1,2006,12.50,-2.26,79.22,1.07,12.35,0.00,2.82
17,1,2006,12.55,-0.24,80.17,0.96,12.34,0.00,1.60
18,1,2006,10.13,0.72,85.95,0.61,6.57,0.20,1.10
19,1,2006,9.87,0.89,93.39,0.37,5.77,12.51,1.83
20,1,2006,13.00,2.98,84.86,1.03,11.68,4.93,1.13
21,1,2006,10.75,2.31,98.36,-0.04,1.09,7.19,4.55
22,1,2006,11.34,3.74,85.58,0.92,9.61,0.88,1.49
23,1,2006,11.68,0.98,83.55,0.95,11.38,0.05,1.17
24,1,2006,12.70,-1.48,79.22,1.22,13.22,0.00,4.83
25,1,2006,10.97,4.00,73.03,1.33,11.67,0.00,7.50
26,1,2006,8.62,5.60,82.89,0.91,3.45,2.15,6.20
27,1,2006,15.00,1.14,82.80,1.17,12.22,0.01,2.15
28,1,2006,14.99,2.23,80.77,1.15,10.72,0.00,4.01
29,1,2006,14.74,4.62,86.30,0.67,7.70,0.09,1.59
