Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind
1,1,2006,7.59,-1.17,82.81,0.71,10.16,0.35,1.80
2,1,2006,7.69,-0.54,81.14,0.67,6.93,0.36,2.91
3,1,2006,7.08,-0.43,81.19,0.74,8.82,0.05,2.67
4,1,2006,7.36,1.30,83.81,0.73,11.36,0.06,2.03
5,1,2006,6.84,-1.61,81.68,0.49,6.26,0.08,2.17
6,1,2006,6.38,-2.64,81.09,0.76,12.19,0.01,2.79
7,1,2006,7.00,1.42,84.79,0.43,4.77,0.70,2.46
8,1,2006,9.48,-0.19,83.54,0.65,9.63,0.01,3.67
9,1,2006,7.70,-0.25,74.74,0.74,9.47,0.00,5.92
10,1,2006,8.29,-1.38,73.79,0.87,10.78,0.00,5.71
11,1,2006,10.34,-3.28,80.16,0.72,12.39,0.00,2.88
12,1,2006,9.06,-0.69,77.66,0.72,12.36,0.01,2.80
13,1,2006,10.41,-2.51,76.35,0.75,12.63,0.00,3.02
14,1,2006,8.44,1.26,80.32,0.62,11.35,0.01,2.16
15,1,2006,8.67,-0.33,80.02,0.64,12.22,0.00,2.55
16,1,2006,7.66,-0.15,80.59,0.51,9.93,0.04,2.93
17,1,2006,7.86,-3.41,77.63,0.60,12.85,0.00,2.82
18,1,2006,10.63,-1.22,72.86,0.69,13.22,0.00,2.89
19,1,2006,5.89,-1.68,88.17,0.40,1.42,23.89,4.52
20,1,2006,9.30,0.16,89.21,0.61,6.95,2.48,2.57
21,1,2006,8.34,1.76,88.21,0.73,8.90,0.38,2.58
22,1,2006,9.03,1.57,84.17,1.02,10.15,0.02,4.17
23,1,2006,10.84,2.92,80.04,1.27,13.62,0.07,2.66
24,1,2006,7.04,3.18,87.38,0.62,6.15,0.38,2.60
25,1,2006,5.85,0.59,87.58,0.72,7.27,0.20,3.70
26,1,2006,8.02,0.26,82.01,1.02,10.48,0.13,3.20
27,1,2006,9.81,0.05,84.27,1.05,13.70,0.02,2.28
28,1,2006,10.90,0.82,81.65,0.86,10.88,0.02,2.68
29,1,2006,16.33,2.28,75.07,1.21,12.78,1.41,2.55
30,1,2006,9.51,6.17,85.46,0.76,4.36,1.81,8.24
31,1,2006,9.79,6.50,85.50,0.79,5.01,1.11,7.18
1,2,2006,10.97,2.56,84.74,1.09,11.55,0.23,5.14
2,2,2006,11.09,0.85,83.00,1.22,14.81,0.01,2.82
3,2,2006,10.09,1.76,89.81,1.03,13.25,0.06,3.34
4,2,2006,8.68,5.58,90.85,0.49,5.29,0.70,2.99
5,2,2006,8.95,3.11,90.27,0.79,7.10,7.15,2.26
6,2,2006,8.67,0.96,80.09,1.39,12.24,0.03,4.88
7,2,2006,8.39,-1.28,78.16,1.32,10.68,0.02,5.15
8,2,2006,8.77,-3.24,82.24,1.14,14.88,0.00,3.26
9,2,2006,11.89,-0.99,83.27,1.17,16.19,0.00,2.86
10,2,2006,13.88,1.88,82.00,1.20,13.71,0.01,3.11
11,2,2006,12.56,1.45,87.03,1.25,16.12,0.42,2.61
12,2,2006,9.12,3.38,92.10,0.42,3.59,1.46,2.55
13,2,2006,9.06,0.55,74.28,1.33,13.20,0.00,5.21
14,2,2006,8.00,-1.64,80.46,1.12,15.07,0.02,2.50
15,2,2006,7.62,0.64,86.31,0.76,10.39,0.13,1.98
16,2,2006,11.57,-0.16,77.90,1.22,16.98,0.00,2.86
17,2,2006,14.15,2.45,83.38,1.22,16.73,0.02,2.28
18,2,2006,12.32,3.68,80.63,1.02,15.00,0.01,2.45
