Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind
1,1,2006,9.18,0.23,67.73,0.72,11.99,0.05,5.33
2,1,2006,4.28,-0.06,82.84,0.56,6.29,1.27,5.02
3,1,2006,2.31,-3.11,87.93,0.34,5.95,2.28,4.17
4,1,2006,6.76,-0.36,84.05,0.44,7.60,1.69,4.07
5,1,2006,4.88,-2.81,80.70,0.39,7.23,0.12,2.76
6,1,2006,6.35,-4.11,76.75,0.51,12.57,0.01,1.57
7,1,2006,7.31,-4.00,79.96,0.47,11.69,0.01,2.62
8,1,2006,4.89,-1.36,93.16,0.33,3.35,4.65,3.38
9,1,2006,3.04,-0.85,87.19,0.46,3.74,2.53,5.71
10,1,2006,2.97,-2.07,86.54,0.23,3.19,1.69,2.34
11,1,2006,6.28,-2.53,82.75,0.40,12.49,0.11,0.94
12,1,2006,10.15,-1.80,67.26,0.61,12.75,0.00,1.08
13,1,2006,6.44,-3.51,79.67,0.43,12.08,0.02,1.59
14,1,2006,7.55,-3.51,79.25,0.48,13.17,0.00,1.55
15,1,2006,7.23,-3.42,78.36,0.55,12.92,0.01,1.52
16,1,2006,6.59,-4.19,77.17,0.51,12.39,0.01,1.47
17,1,2006,7.30,-5.09,74.60,0.57,13.53,0.00,1.29
18,1,2006,7.41,-4.15,69.78,0.57,13.81,0.00,1.14
19,1,2006,2.50,-2.49,93.29,0.11,2.11,17.16,2.17
20,1,2006,7.71,-0.97,77.83,0.35,10.05,1.84,1.51
21,1,2006,4.13,-0.80,95.78,0.26,2.40,6.50,2.50
22,1,2006,5.21,2.47,92.95,0.36,3.33,6.01,4.19
23,1,2006,5.53,-1.52,87.95,0.39,5.24,0.79,1.75
24,1,2006,8.60,-5.68,79.95,0.62,14.09,0.02,1.80
25,1,2006,5.13,-4.86,80.89,0.50,13.22,0.01,3.16
26,1,2006,5.58,-1.61,79.37,0.47,10.08,0.00,2.97
27,1,2006,10.34,-1.57,75.82,0.74,14.38,0.01,1.81
28,1,2006,11.96,-3.76,74.22,0.66,12.46,0.00,1.65
29,1,2006,12.39,1.23,76.68,0.74,12.99,1.91,2.77
30,1,2006,6.09,4.40,97.96,-0.15,0.28,37.41,7.44
31,1,2006,5.79,4.71,96.05,-0.10,0.48,32.67,6.91
1,2,2006,5.46,4.06,96.60,0.11,0.70,11.96,3.32
2,2,2006,7.53,-0.39,84.07,0.65,11.50,0.39,1.29
3,2,2006,9.67,-2.98,80.97,0.68,15.11,0.00,3.39
4,2,2006,9.65,-0.32,80.89,0.67,14.04,0.30,4.21
5,2,2006,5.15,2.43,92.86,0.41,3.36,4.20,1.73
6,2,2006,4.03,1.00,91.47,0.68,4.02,5.45,5.79
7,2,2006,3.59,-3.04,91.54,0.41,3.85,2.47,4.77
8,2,2006,10.26,-4.83,75.99,0.73,15.70,0.00,3.76
9,2,2006,13.80,-2.32,68.82,0.94,16.48,0.00,3.10
10,2,2006,14.33,-0.20,65.88,1.02,15.46,0.00,2.34
11,2,2006,12.04,0.39,80.59,0.78,15.96,0.09,1.04
12,2,2006,9.16,1.53,90.54,0.56,7.29,1.34,2.15
13,2,2006,3.95,-0.42,87.56,0.54,5.07,1.88,4.46
14,2,2006,9.28,-1.14,75.33,0.90,17.32,0.12,1.48
15,2,2006,11.04,-2.89,73.61,0.95,17.71,0.00,2.26
16,2,2006,14.53,-1.62,64.67,1.23,17.55,0.00,4.92
17,2,2006,12.69,0.40,76.01,0.92,16.20,0.04,2.36
18,2,2006,11.13,0.76,77.31,0.82,12.43,0.22,2.69
19,2,2006,12.10,-2.27,75.28,1.03,18.38,0.00,4.57
20,2,2006,9.70,-1.16,69.12,1.16,18.50,0.31,3.01
21,2,2006,8.23,-1.89,71.20,0.98,18.93,0.00,5.67
22,2,2006,3.65,-1.19,94.77,0.32,2.92,12.66,2.60
23,2,2006,2.80,-9.51,76.22,0.65,19.08,0.20,6.58
24,2,2006,4.74,-3.60,78.90,0.51,18.07,0.13,8.59
25,2,2006,4.13,-3.39,70.70,0.66,20.50,0.00,8.45
26,2,2006,6.30,-2.05,81.11,0.53,18.20,2.38,5.36
27,2,2006,8.65,-0.93,78.36,0.66,16.96,0.38,7.32
28,2,2006,6.71,-1.74,73.63,0.80,16.66,0.58,6.09
1,3,2006,9.61,-4.21,56.98,1.23,19.80,0.70,4.05
2,3,2006,7.69,-2.83,73.20,0.94,19.74,0.01,2.53
3,3,2006,10.17,-3.58,67.15,1.12,19.86,0.00,2.35
4,3,2006,14.43,-2.30,58.19,1.49,20.68,0.01,4.62
5,3,2006,14.49,-0.15,53.71,1.70,20.11,0.00,10.35
6,3,2006,2.58,-2.20,86.30,0.54,3.73,3.70,6.75
7,3,2006,3.19,-2.13,82.80,1.17,13.93,5.70,11.51
8,3,2006,10.57,-0.92,80.92,0.61,14.28,0.57,4.56
9,3,2006,17.73,1.45,56.72,1.54,21.15,0.00,3.68
10,3,2006,11.21,-0.12,71.90,1.03,17.47,0.01,5.32
11,3,2006,11.22,-0.02,73.97,1.38,17.97,2.40,8.21
12,3,2006,6.41,-0.08,80.43,0.78,12.57,0.22,5.72
13,3,2006,17.04,-0.07,57.93,1.75,21.95,0.03,2.72
